publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
applied logistic regression		9780471673804							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12896.9780471654025	Hosmer	/ebooks/ebooks2/pda/2011-12-01/1/12896.9780471654025		fulltext		Wiley	monograph	2000			2nd ed.				P
applied spatial statistics for public health data	9780471387718								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/9292.0471662674	Waller	/ebooks/ebooks2/pda/2011-12-01/1/9292.0471662674		fulltext		John Wiley & Sons	monograph	2004							P
archigram: architecture without architecture									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10613.9780262693226	Sadler	/ebooks/ebooks2/pda/2011-12-01/1/10613.9780262693226		fulltext		MIT Press	monograph	2005							P
architect's guide to feng shui: exploding the myth	9780750656061								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10618.9780750656061	Bramble	/ebooks/ebooks2/pda/2011-12-01/1/10618.9780750656061		fulltext		Architectural Press	monograph	2003							P
arete: greek sports from ancient sources									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/7936.0520241541	Miller	/ebooks/ebooks2/pda/2011-12-01/1/7936.0520241541		fulltext		University of California Press	monograph	2004			3rd and expanded ed.				P
asking questions: the definitive guide to questionnaire design: for market research, political polls, and social and health questionnaires		9780787970888							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13562.9780787973438	Bradburn	/ebooks/ebooks2/pda/2011-12-01/1/13562.9780787973438		fulltext		Jossey-Bass	monograph	2004			Rev. ed.				P
atoms, radiation, and radiation protection		9783527406067							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13563.9783527616985	Turner	/ebooks/ebooks2/pda/2011-12-01/1/13563.9783527616985		fulltext		Wiley-VCH ; John Wiley, distributor]	monograph	2007			3rd, completely rev. and enlarged ed.				P
attention-deficit hyperactivity disorder: a handbook for diagnosis and treatment									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11628.9781593856946	Barkley	/ebooks/ebooks2/pda/2011-12-01/1/11628.9781593856946		fulltext		Guilford Press	monograph	2006			3rd ed.				P
automotive air-conditioning and climate control systems		9780750669559							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10428.0750669551	Daly	/ebooks/ebooks2/pda/2011-12-01/1/10428.0750669551		fulltext		Elsevier Butterworh-Heinemann	monograph	2006			1st ed.				P
basic introduction to pollutant fate and transport: an integrated approach with chemistry, modeling, risk assessment, and environmental legislation		9780471651284							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13568.9780471758129	Dunnivant	/ebooks/ebooks2/pda/2011-12-01/1/13568.9780471758129		fulltext		Wiley-Interscience	monograph	2006							P
beaches, ruins, resorts: the politics of tourism in the arab world		9780816654918							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13034.9780816654918	Hazbun	/ebooks/ebooks2/pda/2011-12-01/1/13034.9780816654918		fulltext		University of Minnesota Press	monograph	2008							P
beginning html, xhtml, css, and javascript		9780470540701							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15041.9780470612873	Duckett	/ebooks/ebooks2/pda/2011-12-01/1/15041.9780470612873		fulltext		Wiley Publishing	monograph	2010							P
beginning iphone sdk programming with objective-c		9780470500972							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15197.9780470617533	Lee	/ebooks/ebooks2/pda/2011-12-01/1/15197.9780470617533		fulltext		Wiley ; John Wiley [distributor]	monograph	2010							P
behavioral economics and its applications		9780691122847							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15281.9781400829149	Diamond	/ebooks/ebooks2/pda/2011-12-01/1/15281.9781400829149		fulltext		Princeton University Press	monograph	2007							P
being virtual: who you really are online		9780470723623							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13559.9780470712085	Winder	/ebooks/ebooks2/pda/2011-12-01/1/13559.9780470712085		fulltext		Wiley	monograph	2008							P
benson & pernoll's handbook of obstetrics & gynecology									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/5864.0071383522	Pernoll	/ebooks/ebooks2/pda/2011-12-01/1/5864.0071383522		fulltext		McGraw-Hill	monograph	2001			10th ed.				P
beyond the myths and magic of mentoring: how to facilitate an effective mentoring process		9780787956752							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13561.9780787959913	Murray	/ebooks/ebooks2/pda/2011-12-01/1/13561.9780787959913		fulltext		Jossey-Bass	monograph	2001			New and rev. ed.				P
bioinformatics and biomarker discovery: "omic" data analysis for personalised medicine		9780470744604							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15000.9780470686430	Azuaje	/ebooks/ebooks2/pda/2011-12-01/1/15000.9780470686430		fulltext		John Wiley & Sons	monograph	2010							P
biomedical information technology		9780123735836							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10985.9780123735836		/ebooks/ebooks2/pda/2011-12-01/1/10985.9780123735836		fulltext		Academic Press	monograph	2008				Feng			P
birth of biopolitics: lectures at the college de france, 1978-79		9781403986542							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12975.9780230594180	Foucault	/ebooks/ebooks2/pda/2011-12-01/1/12975.9780230594180		fulltext		Palgrave Macmillan	monograph	2008				Senellart			P
black cultural traffic: crossroads in global performance and popular culture									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15284.9780472025459		/ebooks/ebooks2/pda/2011-12-01/1/15284.9780472025459		fulltext		University of Michigan Press	monograph	2005				Elam			P
blackwell companion to social movements									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12207.9780470999097		/ebooks/ebooks2/pda/2011-12-01/1/12207.9780470999097		fulltext		Blackwell Pub.	monograph	2004				Snow			P
blackwell handbook of language development		9781405132534							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10261.9781405132534		/ebooks/ebooks2/pda/2011-12-01/1/10261.9781405132534		fulltext		Blackwell	monograph	2007				Hoff			P
bmat and ukcat uncovered: a guide to medical school entrance exams		9781405169189							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12995.9781444300482	Osinowo	/ebooks/ebooks2/pda/2011-12-01/1/12995.9781444300482		fulltext		BMJ/Wiley-Blackwell	monograph	2008							P
body by science: a research-based program for strength training, body building, and complete fitness in 12 minutes a week		9780071597173							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12786.0071597204	McGuff	/ebooks/ebooks2/pda/2011-12-01/1/12786.0071597204		fulltext		McGraw-Hill	monograph	2009							P
bootstrap methods: a guide for practitioners and researchers		9780471756217							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12995.9780470192566	Chernick	/ebooks/ebooks2/pda/2011-12-01/1/12995.9780470192566		fulltext		Wiley-Interscience	monograph	2008			2nd ed.				P
c programming for embedded systems		9781929629046							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10734.9781929629046	Zurell	/ebooks/ebooks2/pda/2011-12-01/1/10734.9781929629046		fulltext		R&D Books	monograph	2000							P
c# 2.0: the complete reference		9780072262094							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/9735.007148373X	Schildt	/ebooks/ebooks2/pda/2011-12-01/1/9735.007148373X		fulltext		McGraw-Hill/Osborne	monograph	2006			2nd. ed.				P
canaanite myths and legends		9780567080899							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12359.9780567080899	Gibson	/ebooks/ebooks2/pda/2011-12-01/1/12359.9780567080899		fulltext		T & T Clark International	monograph	2004			2nd ed.				P
capitalism and freedom		9780226264219							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12983.9780226264189	Friedman	/ebooks/ebooks2/pda/2011-12-01/1/12983.9780226264189		fulltext		University of Chicago Press	monograph	2002			40th anniversary ed.				P
carbon finance: the financial implications of climate change		9780471794677							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13556.9780470129944	Labatt	/ebooks/ebooks2/pda/2011-12-01/1/13556.9780470129944		fulltext		John Wiley & Sons	monograph	2007							P
career development and counseling: putting theory and research to work									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/9292.0471684872		/ebooks/ebooks2/pda/2011-12-01/1/9292.0471684872		fulltext		John Wiley	monograph	2005				Brown			P
careerjournal.com resume guide for $100,000+ executive jobs		9780471232872							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13560.9780471265405	Montag	/ebooks/ebooks2/pda/2011-12-01/1/13560.9780471265405		fulltext		J. Wiley	monograph	2002							P
carnal thoughts: embodiment and moving image culture									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8243.0520241290	Sobchack	/ebooks/ebooks2/pda/2011-12-01/1/8243.0520241290		fulltext		University of California Press	monograph	2004							P
casarett & doull's toxicology: the basic science of poisons		9780071470513							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11586.0071593519		/ebooks/ebooks2/pda/2011-12-01/1/11586.0071593519		fulltext		McGraw-Hill Medical ; McGraw-Hill [distributor]	monograph	2008			7th ed.	Klaassen			P
case files family medicine		9780071600231							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14149.0071600248	Toy	/ebooks/ebooks2/pda/2011-12-01/1/14149.0071600248		fulltext		McGraw-Hill	monograph	2009			2nd ed.				P
castles, battles, & bombs: how economics explains military history		9780226071633							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12688.9780226071657	Brauer	/ebooks/ebooks2/pda/2011-12-01/1/12688.9780226071657		fulltext		University of Chicago Press	monograph	2008							P
catalysing development?: a debate on aid		9781405121194							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11379.9781405121194		/ebooks/ebooks2/pda/2011-12-01/1/11379.9781405121194		fulltext		Blackwell Pub.	monograph	2004				Pronk			P
cervical cancer: a guide for nurses		9780470061015							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12824.9780470988039	Dunleavey	/ebooks/ebooks2/pda/2011-12-01/1/12824.9780470988039		fulltext		Wiley-Blackwell	monograph	2009							P
chemical process and design handbook		9780071500630							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10788.0071500634	Speight	/ebooks/ebooks2/pda/2011-12-01/1/10788.0071500634		fulltext		McGraw-Hill	monograph	2002							P
children and play		9780631235217							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13572.9781444310993	Smith	/ebooks/ebooks2/pda/2011-12-01/1/13572.9781444310993		fulltext		Wiley-Blackwell	monograph	2009							P
china and the challenge of economic globalization: the impact of wto membership									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10732.9780765614681		/ebooks/ebooks2/pda/2011-12-01/1/10732.9780765614681		fulltext		M.E. Sharpe	monograph	2006				Fung			P
chocolate science and technology		9781405199063							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15197.9781444319897	Afoakwa	/ebooks/ebooks2/pda/2011-12-01/1/15197.9781444319897		fulltext		Wiley-Blackwell	monograph	2010							P
chromatography: concepts and contrasts									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13561.9780471980599	Miller	/ebooks/ebooks2/pda/2011-12-01/1/13561.9780471980599		fulltext		Wiley	monograph	2005			2nd ed.				P
civilizational identity: the production and reproduction of "civilizations" in international relations		9781403975447							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12619.9780230608924		/ebooks/ebooks2/pda/2011-12-01/1/12619.9780230608924		fulltext		Palgrave Macmillan	monograph	2007			1st ed.	Hall			P
classical algebra: its nature, origins, and uses		9780470259528							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470277973	Cooke	/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470277973		fulltext		Wiley-Interscience	monograph	2008							P
clinical paediatric dietetics		9781405134934							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12016.9780470691281		/ebooks/ebooks2/pda/2011-12-01/1/12016.9780470691281		fulltext		Blackwell Pub.	monograph	2007			3rd ed.	Shaw			P
coalitions and partnerships in community health		9780787987855							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12995.9780787996017	Butterfoss	/ebooks/ebooks2/pda/2011-12-01/1/12995.9780787996017		fulltext		Jossey-Bass	monograph	2007			1st ed.				P
cognitive behavior therapy and eating disorders		9781593857097							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12147.9781606230473	Fairburn	/ebooks/ebooks2/pda/2011-12-01/1/12147.9781606230473		fulltext		Guilford Press	monograph	2008							P
cognitive-behavioral therapy for adult asperger syndrome		9781593854973							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12752.9781593858490	Gaus	/ebooks/ebooks2/pda/2011-12-01/1/12752.9781593858490		fulltext		Guilford Press	monograph	2007							P
colorectal cancer		9781861563347							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13565.9780470031681		/ebooks/ebooks2/pda/2011-12-01/1/13565.9780470031681		fulltext		Whurr	monograph	2005				Swan			P
combustion		9780120885732							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12513.9780120885732	Glassman	/ebooks/ebooks2/pda/2011-12-01/1/12513.9780120885732		fulltext		Academic Press	monograph	2008			4th ed.				P
community-based research and higher education: principles and practices									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13569.9780787971267	Strand	/ebooks/ebooks2/pda/2011-12-01/1/13569.9780787971267		fulltext		Jossey-Bass	monograph	2003			1st ed.				P
companion to 19th-century america		9780631209850							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12207.9780470998465		/ebooks/ebooks2/pda/2011-12-01/1/12207.9780470998465		fulltext		Blackwell	monograph	2001		2		Barney			P
companion to american literature and culture		9780631208921							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15287.9781444320633		/ebooks/ebooks2/pda/2011-12-01/1/15287.9781444320633		fulltext		Wiley-Blackwell	monograph	2010				Lauter			P
companion to aristotle		9781405122238							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13562.9781444305678		/ebooks/ebooks2/pda/2011-12-01/1/13562.9781444305678		fulltext		Wiley-Blackwell	monograph	2009		42		Anagnostopoulos			P
companion to heidegger									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13559.9780470997246		/ebooks/ebooks2/pda/2011-12-01/1/13559.9780470997246		fulltext		Blackwell Pub.	monograph	2005		29		Dreyfus			P
companion to media studies									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10123.063122601X	Valdivia	/ebooks/ebooks2/pda/2011-12-01/1/10123.063122601X		fulltext		Blackwell Pub.	monograph	2003		6					P
companion to museum studies		9781405108393							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12365.9781405157292		/ebooks/ebooks2/pda/2011-12-01/1/12365.9781405157292		fulltext		Blackwell Pub.	monograph	2006		12		Macdonald			P
companion to philosophy of religion		9781405163576							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15087.9781444320169		/ebooks/ebooks2/pda/2011-12-01/1/15087.9781444320169		fulltext		Wiley-Blackwell	monograph	2010		9	2nd ed.	Taliaferro			P
companion to political geography									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12207.9780470998939		/ebooks/ebooks2/pda/2011-12-01/1/12207.9780470998939		fulltext		Blackwell Publishers	monograph	2003		3		Agnew			P
companion to science fiction									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10125.9781405112185		/ebooks/ebooks2/pda/2011-12-01/1/10125.9781405112185		fulltext		Blackwell Pub.	monograph	2005		34		Seed			P
companion to the american revolution		9780631210580							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12016.9780470756447		/ebooks/ebooks2/pda/2011-12-01/1/12016.9780470756447		fulltext		Blackwell Publishers	monograph	2000				Greene			P
companion to the history of the book		9781405127653							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11190.9781405127653		/ebooks/ebooks2/pda/2011-12-01/1/11190.9781405127653		fulltext		Blackwell Pub.	monograph	2007		48		Eliot			P
companion to tudor literature		9781405154772							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15161.9781444317220		/ebooks/ebooks2/pda/2011-12-01/1/15161.9781444317220		fulltext		Wiley-Blackwell	monograph	2010				Cartwright			P
comparing democracies 2: new challenges in the study of elections and voting									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11764.9780761972235		/ebooks/ebooks2/pda/2011-12-01/1/11764.9780761972235		fulltext		Sage	monograph	2002			[2nd ed.].	LeDuc			P
complete french grammar		9780071482844							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11372.0071594353	Heminway	/ebooks/ebooks2/pda/2011-12-01/1/11372.0071594353		fulltext		McGraw-Hill Contemporary Learning	monograph	2007							P
compliance management for public, private, or nonprofit organizations		9780071496407							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11751.0071642862	Silverman	/ebooks/ebooks2/pda/2011-12-01/1/11751.0071642862		fulltext		McGraw-Hill	monograph	2008							P
comprehensive handbook of psychotherapy volume 3, interpersonal / humanistic / existential		9780471386261							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13567.9780471214397		/ebooks/ebooks2/pda/2011-12-01/1/13567.9780471214397		fulltext		Wiley	monograph	2002				Kaslow			P
comprehensive organic reactions in aqueous media		9780471761297							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12995.9780470131435	Li	/ebooks/ebooks2/pda/2011-12-01/1/12995.9780470131435		fulltext		Wiley-Interscience	monograph	2007			2nd ed.				P
comptia a+: complete study guide		9780470486481							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14861.9780470615713	Docter	/ebooks/ebooks2/pda/2011-12-01/1/14861.9780470615713		fulltext		Sibex	monograph	2010							P
comptia linux+ certification study guide: exam xk0-003		9781597494823							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14683.9781597494823	Barber	/ebooks/ebooks2/pda/2011-12-01/1/14683.9781597494823		fulltext		Syngress	monograph	2010							P
computational fluid dynamics: principles and applications	9780080430096	9780080545547							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11607.9780080430096	Blazek	/ebooks/ebooks2/pda/2011-12-01/1/11607.9780080430096		fulltext		Elsevier	monograph	2001			1st ed.				P
confirmatory factor analysis for applied research		9781593852740							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12475.9781606232101	Brown	/ebooks/ebooks2/pda/2011-12-01/1/12475.9781606232101		fulltext		Guilford Press	monograph	2006							P
contemporary european foreign policy		9781412900010							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11764.9781412900010		/ebooks/ebooks2/pda/2011-12-01/1/11764.9781412900010		fulltext		SAGE	monograph	2004				Carlsnaes			P
contesting neoliberalism: urban frontiers		9781593853204							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10693.9781593856212		/ebooks/ebooks2/pda/2011-12-01/1/10693.9781593856212		fulltext		Guilford Press	monograph	2007				Leitner			P
convexity and optimization in r [superscript n]		9780471352815							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13560.9780471461661	Berkovitz	/ebooks/ebooks2/pda/2011-12-01/1/13560.9780471461661		fulltext		J. Wiley	monograph	2002							P
corporate germany between globalization and regional place dependence: business restructuring in the ruhr area		9780333912812							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12408.9780230508286	Berndt	/ebooks/ebooks2/pda/2011-12-01/1/12408.9780230508286		fulltext		Palgrave	monograph	2001							P
corruption and the secret of law: a legal anthropological perspective		9780754671107							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11650.9780754685044		/ebooks/ebooks2/pda/2011-12-01/1/11650.9780754685044		fulltext		Ashgate	monograph	2007				Anders			P
countdown to french: learn to communicate in 24 hours									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/7566.0071414223	Stein	/ebooks/ebooks2/pda/2011-12-01/1/7566.0071414223		fulltext		McGraw-Hill	monograph	2004							P
craft of research		9780226065656							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13387.9780226062648	Booth	/ebooks/ebooks2/pda/2011-12-01/1/13387.9780226062648		fulltext		University of Chicago Press	monograph	2008			3rd ed.				P
creating knowledge-based healthcare organizations									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/7995.1591404614-1	Wickramasinghe	/ebooks/ebooks2/pda/2011-12-01/1/7995.1591404614-1		fulltext		Idea Group Pub.	monograph	2005				Gupta			P
creative destruction: how globalization is changing the world's cultures		9780691117836							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13268.9780691117836	Cowen	/ebooks/ebooks2/pda/2011-12-01/1/13268.9780691117836		fulltext		Princeton University Press	monograph	2002							P
crime & modernity: continuities in left realist criminology									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8698.0803975562	Lea	/ebooks/ebooks2/pda/2011-12-01/1/8698.0803975562		fulltext		Sage Publications	monograph	2002							P
crimes against nature: squatters, poachers, thieves, and the hidden history of american conservation									http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/7773.0520239091	Jacoby	/ebooks/ebooks2/pda/2011-12-01/1/7773.0520239091		fulltext		University of California Press	monograph	2003							P
